reg_name,field_name,bits,addr,sw_attr,hw_attr,rst_val,reg_attr,description
RX2_I_LSB_TEMP1,rx2_i_lsb_temp1,7:0,81,rw,rw we,'0,::sync_rst,I for RX2 Phase
RX2_Q_LSB_TEMP1,rx2_q_lsb_temp1,7:0,82,rw,rw we,'0,::sync_rst,Q for RX2 Phase
RX2_AV_LSB_TEMP1,rx2_av_lsb_temp1,7:0,83,rw,rw we,'0,::sync_rst,AV for RX2 Gain
RX2_MSB_TEMP1,rx2_i_msb_temp1,0:0,84,rw,rw we,'0,::sync_rst,
RX2_MSB_TEMP1,rx2_q_msb_temp1,1:1,84,rw,rw we,'0,::sync_rst,
RX2_MSB_TEMP1,rx2_av_msb_temp1,4:2,84,rw,rw we,'0,::sync_rst,
RX2_I_LSB_TEMP2,rx2_i_lsb_temp2,7:0,85,rw,rw we,'0,::sync_rst,I for RX2 Phase
RX2_Q_LSB_TEMP2,rx2_q_lsb_temp2,7:0,86,rw,rw we,'0,::sync_rst,Q for RX2 Phase
RX2_AV_LSB_TEMP2,rx2_av_lsb_temp2,7:0,87,rw,rw we,'0,::sync_rst,AV for RX2 Gain
RX2_MSB_TEMP2,rx2_i_msb_temp2,0:0,88,rw,rw we,'0,::sync_rst,
RX2_MSB_TEMP2,rx2_q_msb_temp2,1:1,88,rw,rw we,'0,::sync_rst,
RX2_MSB_TEMP2,rx2_av_msb_temp2,4:2,88,rw,rw we,'0,::sync_rst,
RX2_I_LSB_TEMP3,rx2_i_lsb_temp3,7:0,89,rw,rw we,'0,::sync_rst,I for RX2 Phase
RX2_Q_LSB_TEMP3,rx2_q_lsb_temp3,7:0,90,rw,rw we,'0,::sync_rst,Q for RX2 Phase
RX2_AV_LSB_TEMP3,rx2_av_lsb_temp3,7:0,91,rw,rw we,'0,::sync_rst,AV for RX2 Gain
RX2_MSB_TEMP3,rx2_i_msb_temp3,0:0,92,rw,rw we,'0,::sync_rst,
RX2_MSB_TEMP3,rx2_q_msb_temp3,1:1,92,rw,rw we,'0,::sync_rst,
RX2_MSB_TEMP3,rx2_av_msb_temp3,4:2,92,rw,rw we,'0,::sync_rst,
TX3_I_LSB,tx3_i_lsb,7:0,93,rw,rw we,'0,::sync_rst,I for TX3 Phase
TX3_Q_LSB,tx3_q_lsb,7:0,94,rw,rw we,'0,::sync_rst,Q for TX3 Phase
TX3_AV_LSB,tx3_av_lsb,7:0,95,rw,rw we,'0,::sync_rst,AV for TX3 Gain
TX3_MSB,tx3_i_msb,0:0,96,rw,rw we,'0,::sync_rst,
TX3_MSB,tx3_q_msb,1:1,96,rw,rw we,'0,::sync_rst,
TX3_MSB,tx3_av_msb,4:2,96,rw,rw we,'0,::sync_rst,
TX3_FINAL_AV,tx3_final_av,4:0,97,rw,rw we,'0,::sync_rst,
RX3_I_LSB_TEMP0,rx3_i_lsb_temp0,7:0,98,rw,rw we,'0,::sync_rst,I for RX3 Phase
RX3_Q_LSB_TEMP0,rx3_q_lsb_temp0,7:0,99,rw,rw we,'0,::sync_rst,Q for RX3 Phase
RX3_AV_LSB_TEMP0,rx3_av_lsb_temp0,7:0,100,rw,rw we,'0,::sync_rst,AV for RX3 Gain
RX3_MSB_TEMP0,rx3_i_msb_temp0,0:0,101,rw,rw we,'0,::sync_rst,
RX3_MSB_TEMP0,rx3_q_msb_temp0,1:1,101,rw,rw we,'0,::sync_rst,
RX3_MSB_TEMP0,rx3_av_msb_temp0,4:2,101,rw,rw we,'0,::sync_rst,
RX3_I_LSB_TEMP1,rx3_i_lsb_temp1,7:0,102,rw,rw we,'0,::sync_rst,I for RX3 Phase
RX3_Q_LSB_TEMP1,rx3_q_lsb_temp1,7:0,103,rw,rw we,'0,::sync_rst,Q for RX3 Phase
RX3_AV_LSB_TEMP1,rx3_av_lsb_temp1,7:0,104,rw,rw we,'0,::sync_rst,AV for RX3 Gain
RX3_MSB_TEMP1,rx3_i_msb_temp1,0:0,105,rw,rw we,'0,::sync_rst,
RX3_MSB_TEMP1,rx3_q_msb_temp1,1:1,105,rw,rw we,'0,::sync_rst,
RX3_MSB_TEMP1,rx3_av_msb_temp1,4:2,105,rw,rw we,'0,::sync_rst,
RX3_I_LSB_TEMP2,rx3_i_lsb_temp2,7:0,106,rw,rw we,'0,::sync_rst,I for RX3 Phase
RX3_Q_LSB_TEMP2,rx3_q_lsb_temp2,7:0,107,rw,rw we,'0,::sync_rst,Q for RX3 Phase
RX3_AV_LSB_TEMP2,rx3_av_lsb_temp2,7:0,108,rw,rw we,'0,::sync_rst,AV for RX3 Gain
RX3_MSB_TEMP2,rx3_i_msb_temp2,0:0,109,rw,rw we,'0,::sync_rst,
RX3_MSB_TEMP2,rx3_q_msb_temp2,1:1,109,rw,rw we,'0,::sync_rst,
RX3_MSB_TEMP2,rx3_av_msb_temp2,4:2,109,rw,rw we,'0,::sync_rst,
RX3_I_LSB_TEMP3,rx3_i_lsb_temp3,7:0,110,rw,rw we,'0,::sync_rst,I for RX3 Phase
RX3_Q_LSB_TEMP3,rx3_q_lsb_temp3,7:0,111,rw,rw we,'0,::sync_rst,Q for RX3 Phase
RX3_AV_LSB_TEMP3,rx3_av_lsb_temp3,7:0,112,rw,rw we,'0,::sync_rst,AV for RX3 Gain
RX3_MSB_TEMP3,rx3_i_msb_temp3,0:0,113,rw,rw we,'0,::sync_rst,
RX3_MSB_TEMP3,rx3_q_msb_temp3,1:1,113,rw,rw we,'0,::sync_rst,
RX3_MSB_TEMP3,rx3_av_msb_temp3,4:2,113,rw,rw we,'0,::sync_rst,
PAGE_ID,page_id,7:0,114,rw,r,'0,::sync_rst,page_id for Memory Access
POWER_DET_CFG,det0_sel,1:0,115,rw,r,'0,::sync_rst,0: Disconnected 1: Signal Peak Det 2: Common Model Peak Det 3: Illegal
POWER_DET_CFG,det1_sel,3:2,115,rw,r,'0,::sync_rst,0: Disconnected 1: Signal Peak Det 2: Common Model Peak Det 3: Illegal
POWER_DET_CFG,det2_sel,5:4,115,rw,r,'0,::sync_rst,0: Disconnected 1: Signal Peak Det 2: Common Model Peak Det 3: Illegal
POWER_DET_CFG,det3_sel,7:6,115,rw,r,'0,::sync_rst,0: Disconnected 1: Signal Peak Det 2: Common Model Peak Det 3: Illegal
DAC_CTRL_PA0,DAC_CTRL_PA0,7:0,116,rw,r,'0,::sync_rst,PA0 Bias
DAC_CTRL_PA1,DAC_CTRL_PA1,7:0,117,rw,r,'0,::sync_rst,PA1 Bias
DAC_CTRL_PA2,DAC_CTRL_PA2,7:0,118,rw,r,'0,::sync_rst,PA2 Bias
DAC_CTRL_PA3,DAC_CTRL_PA3,7:0,119,rw,r,'0,::sync_rst,PA3 Bias
DAC_CTRL_PA0_PDN,DAC_CTRL_PA0_PDN,7:0,120,rw,r,'0,::sync_rst,PA0 Bias
DAC_CTRL_PA1_PDN,DAC_CTRL_PA1_PDN,7:0,121,rw,r,'0,::sync_rst,PA1 Bias
DAC_CTRL_PA2_PDN,DAC_CTRL_PA2_PDN,7:0,122,rw,r,'0,::sync_rst,PA2 Bias
DAC_CTRL_PA3_PDN,DAC_CTRL_PA3_PDN,7:0,123,rw,r,'0,::sync_rst,PA3 Bias
